CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,7,51520
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,7,51520
herringm,2021-11-02T18:43:09.683Z,0,0,0,7,51520
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,7,51520
herringm,2021-11-02T23:00:02.290Z,0,0,0,7,51520
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,7,51520
herringm,2021-11-02T23:33:21.983Z,117,0,1,7,51520
miyaresj,2021-11-02T23:33:21.983Z,488,0,1,7,51520
herringm,2021-11-02T23:44:29.777Z,806,689,3,7,51520
miyaresj,2021-11-02T23:44:29.777Z,1482,994,3,7,51520
herringm,2021-11-02T23:53:37.083Z,1129,689,5,7,51520
miyaresj,2021-11-02T23:53:37.083Z,2463,994,5,7,51520
herringm,2021-11-03T00:04:47.213Z,1334,689,6,7,51520
miyaresj,2021-11-03T00:04:47.213Z,3729,994,6,7,51520
