CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,6,51036
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,6,51036
herringm,2021-11-02T18:43:09.683Z,0,0,0,6,51036
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,6,51036
herringm,2021-11-02T23:00:02.290Z,0,0,0,6,51036
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,6,51036
herringm,2021-11-03T00:04:47.213Z,288,0,1,6,51036
miyaresj,2021-11-03T00:04:47.213Z,265,0,1,6,51036
herringm,2021-11-03T00:13:54.950Z,865,0,3,6,51036
miyaresj,2021-11-03T00:13:54.950Z,1063,0,3,6,51036
herringm,2021-11-03T00:25:05.690Z,1559,694,4,6,51036
miyaresj,2021-11-03T00:25:05.690Z,1498,435,4,6,51036
