CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,12,51540
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,12,51540
herringm,2021-11-02T18:43:09.683Z,0,0,0,12,51540
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,12,51540
herringm,2021-11-02T23:00:02.290Z,0,0,0,12,51540
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,12,51540
herringm,2021-11-02T23:52:36.100Z,546,0,1,12,51540
miyaresj,2021-11-02T23:52:36.100Z,83,0,1,12,51540
herringm,2021-11-03T00:17:59.097Z,2266,0,3,12,51540
miyaresj,2021-11-03T00:17:59.097Z,424,0,3,12,51540
herringm,2021-11-03T00:35:12.890Z,3300,0,4,12,51540
miyaresj,2021-11-03T00:35:12.890Z,687,0,4,12,51540
herringm,2021-11-03T00:43:20.307Z,4515,0,5,12,51540
miyaresj,2021-11-03T00:43:20.307Z,1037,0,5,12,51540
herringm,2021-11-03T00:54:28.790Z,5445,0,6,12,51540
miyaresj,2021-11-03T00:54:28.790Z,1189,0,6,12,51540
herringm,2021-11-03T01:14:48.967Z,7107,0,8,12,51540
miyaresj,2021-11-03T01:14:48.967Z,1558,0,8,12,51540
herringm,2021-11-03T01:54:17.073Z,8391,0,9,12,51540
miyaresj,2021-11-03T01:54:17.073Z,1990,0,9,12,51540
herringm,2021-11-03T02:04:23.423Z,10263,1872,10,12,51540
miyaresj,2021-11-03T02:04:23.423Z,2169,179,10,12,51540
herringm,2021-11-03T02:14:30.530Z,14280,5889,11,12,51540
miyaresj,2021-11-03T02:14:30.530Z,2646,656,11,12,51540
