CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,10,51595
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,10,51595
herringm,2021-11-02T18:43:09.683Z,0,0,0,10,51595
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,10,51595
herringm,2021-11-02T23:00:02.290Z,0,0,0,10,51595
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,10,51595
herringm,2021-11-02T23:44:29.777Z,86,0,1,10,51595
miyaresj,2021-11-02T23:44:29.777Z,113,0,1,10,51595
herringm,2021-11-03T00:13:54.950Z,536,0,5,10,51595
miyaresj,2021-11-03T00:13:54.950Z,319,0,5,10,51595
herringm,2021-11-03T00:25:05.690Z,713,0,7,10,51595
miyaresj,2021-11-03T00:25:05.690Z,523,0,7,10,51595
herringm,2021-11-03T00:54:28.790Z,895,182,9,10,51595
miyaresj,2021-11-03T00:54:28.790Z,708,185,9,10,51595
