CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,24,51069
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,24,51069
herringm,2021-11-02T18:43:09.683Z,0,0,0,24,51069
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,24,51069
herringm,2021-11-02T23:00:02.290Z,0,0,0,24,51069
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,24,51069
herringm,2021-11-02T23:44:29.777Z,2320,0,10,24,51069
miyaresj,2021-11-02T23:44:29.777Z,6403,0,10,24,51069
herringm,2021-11-03T00:05:48.360Z,2547,0,9,24,51069
miyaresj,2021-11-03T00:05:48.360Z,8396,0,9,24,51069
herringm,2021-11-03T00:13:54.950Z,2947,0,10,24,51069
miyaresj,2021-11-03T00:13:54.950Z,9578,0,10,24,51069
herringm,2021-11-03T00:25:05.690Z,7472,4525,12,24,51069
miyaresj,2021-11-03T00:25:05.690Z,14858,5280,12,24,51069
herringm,2021-11-03T00:44:21.460Z,8344,4525,15,24,51069
miyaresj,2021-11-03T00:44:21.460Z,17608,5280,15,24,51069
herringm,2021-11-03T00:50:25.910Z,11428,0,23,24,51069
miyaresj,2021-11-03T00:50:25.910Z,24626,0,23,24,51069
herringm,2021-11-03T02:55:57.433Z,11501,4525,23,24,51069
miyaresj,2021-11-03T02:55:57.433Z,24926,5280,23,24,51069
herringm,2021-11-03T03:16:13.133Z,11428,0,23,24,51069
miyaresj,2021-11-03T03:16:13.133Z,24626,0,23,24,51069
herringm,2021-11-03T03:18:14.483Z,11501,4525,23,24,51069
miyaresj,2021-11-03T03:18:14.483Z,24926,5280,23,24,51069
