CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,10,51670
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,10,51670
herringm,2021-11-02T18:43:09.683Z,0,0,0,10,51670
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,10,51670
herringm,2021-11-02T23:00:02.290Z,0,0,0,10,51670
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,10,51670
herringm,2021-11-03T04:05:40.990Z,3150,1353,10,10,51670
miyaresj,2021-11-03T04:05:40.990Z,3073,1054,10,10,51670
herringm,2021-11-03T04:24:52.050Z,3150,1353,9,10,51670
miyaresj,2021-11-03T04:24:52.050Z,3073,1054,9,10,51670
