CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,9,51101
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,9,51101
herringm,2021-11-02T18:43:09.683Z,0,0,0,9,51101
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,9,51101
herringm,2021-11-02T23:00:02.290Z,0,0,0,9,51101
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,9,51101
herringm,2021-11-03T00:25:05.690Z,2290,0,9,9,51101
miyaresj,2021-11-03T00:25:05.690Z,6236,0,9,9,51101
herringm,2021-11-03T01:02:38.290Z,2290,0,8,9,51101
miyaresj,2021-11-03T01:02:38.290Z,6236,0,8,9,51101
