CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,26,51117
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,26,51117
herringm,2021-11-02T18:43:09.683Z,0,0,0,26,51117
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,26,51117
herringm,2021-11-02T23:00:02.290Z,0,0,0,26,51117
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,26,51117
herringm,2021-11-03T00:05:48.360Z,2668,0,22,26,51117
miyaresj,2021-11-03T00:05:48.360Z,5459,0,22,26,51117
herringm,2021-11-03T00:13:54.950Z,4116,1375,25,26,51117
miyaresj,2021-11-03T00:13:54.950Z,7819,2026,25,26,51117
