CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,13,51127
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,13,51127
herringm,2021-11-02T18:43:09.683Z,0,0,0,13,51127
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,13,51127
herringm,2021-11-02T23:00:02.290Z,0,0,0,13,51127
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,13,51127
herringm,2021-11-03T00:04:47.213Z,373,0,2,13,51127
miyaresj,2021-11-03T00:04:47.213Z,970,0,2,13,51127
herringm,2021-11-03T00:13:54.950Z,736,0,4,13,51127
miyaresj,2021-11-03T00:13:54.950Z,2047,0,4,13,51127
herringm,2021-11-03T00:25:05.690Z,1426,0,7,13,51127
miyaresj,2021-11-03T00:25:05.690Z,4347,0,7,13,51127
herringm,2021-11-03T00:34:12.177Z,1589,0,8,13,51127
miyaresj,2021-11-03T00:34:12.177Z,4826,0,8,13,51127
herringm,2021-11-03T00:43:20.307Z,1951,0,9,13,51127
miyaresj,2021-11-03T00:43:20.307Z,5689,0,9,13,51127
herringm,2021-11-03T01:14:48.967Z,2751,800,10,13,51127
miyaresj,2021-11-03T01:14:48.967Z,7180,1491,10,13,51127
herringm,2021-11-03T01:44:09.337Z,2980,800,11,13,51127
miyaresj,2021-11-03T01:44:09.337Z,8298,1491,11,13,51127
