CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,48,51700
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,48,51700
herringm,2021-11-02T18:43:09.683Z,0,0,0,48,51700
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,48,51700
herringm,2021-11-02T23:00:02.290Z,0,0,0,48,51700
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,48,51700
herringm,2021-11-02T23:25:16.190Z,1350,0,4,48,51700
miyaresj,2021-11-02T23:25:16.190Z,1508,0,4,48,51700
herringm,2021-11-02T23:33:21.983Z,1967,0,7,48,51700
miyaresj,2021-11-02T23:33:21.983Z,2065,0,7,48,51700
herringm,2021-11-02T23:44:29.777Z,4389,0,12,48,51700
miyaresj,2021-11-02T23:44:29.777Z,2857,0,12,48,51700
herringm,2021-11-02T23:53:37.083Z,5742,0,14,48,51700
miyaresj,2021-11-02T23:53:37.083Z,3795,0,14,48,51700
herringm,2021-11-03T00:04:47.213Z,8486,0,20,48,51700
miyaresj,2021-11-03T00:04:47.213Z,6168,0,20,48,51700
herringm,2021-11-03T00:13:54.950Z,11605,0,28,48,51700
miyaresj,2021-11-03T00:13:54.950Z,8296,0,28,48,51700
herringm,2021-11-03T00:25:05.690Z,14843,0,35,48,51700
miyaresj,2021-11-03T00:25:05.690Z,10794,0,35,48,51700
herringm,2021-11-03T00:34:12.177Z,15248,0,36,48,51700
miyaresj,2021-11-03T00:34:12.177Z,11462,0,36,48,51700
herringm,2021-11-03T00:43:20.307Z,19406,0,43,48,51700
miyaresj,2021-11-03T00:43:20.307Z,15227,0,43,48,51700
herringm,2021-11-03T00:54:28.790Z,20823,0,45,48,51700
miyaresj,2021-11-03T00:54:28.790Z,16678,0,45,48,51700
herringm,2021-11-03T01:23:55.377Z,28297,7474,46,48,51700
miyaresj,2021-11-03T01:23:55.377Z,20166,3488,46,48,51700
herringm,2021-11-03T01:44:09.337Z,32532,11709,47,48,51700
miyaresj,2021-11-03T01:44:09.337Z,21068,4390,47,48,51700
