CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,51,51710
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,51,51710
herringm,2021-11-02T18:43:09.683Z,0,0,0,51,51710
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,51,51710
herringm,2021-11-02T23:00:02.290Z,0,0,0,51,51710
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,51,51710
herringm,2021-11-02T23:30:19.793Z,1600,0,3,51,51710
miyaresj,2021-11-02T23:30:19.793Z,1531,0,3,51,51710
herringm,2021-11-02T23:47:32.597Z,4621,0,11,51,51710
miyaresj,2021-11-02T23:47:32.597Z,2474,0,11,51,51710
herringm,2021-11-03T00:06:49.030Z,9178,0,21,51,51710
miyaresj,2021-11-03T00:06:49.030Z,5123,0,21,51,51710
herringm,2021-11-03T00:33:11.407Z,15921,0,33,51,51710
miyaresj,2021-11-03T00:33:11.407Z,9714,0,33,51,51710
herringm,2021-11-03T00:51:26.707Z,18589,0,38,51,51710
miyaresj,2021-11-03T00:51:26.707Z,10809,0,38,51,51710
herringm,2021-11-03T01:46:10.747Z,22670,0,45,51,51710
miyaresj,2021-11-03T01:46:10.747Z,12773,0,45,51,51710
herringm,2021-11-03T02:19:33.980Z,24517,0,47,51,51710
miyaresj,2021-11-03T02:19:33.980Z,13950,0,47,51,51710
herringm,2021-11-03T02:45:51.460Z,27775,6160,44,51,51710
miyaresj,2021-11-03T02:45:51.460Z,14243,1039,44,51,51710
herringm,2021-11-03T02:52:54.780Z,31387,0,51,51,51710
miyaresj,2021-11-03T02:52:54.780Z,15409,0,51,51,51710
herringm,2021-11-03T03:05:05.470Z,31387,0,50,51,51710
miyaresj,2021-11-03T03:05:05.470Z,15409,0,50,51,51710
herringm,2021-11-03T05:23:23.617Z,39615,14388,50,51,51710
miyaresj,2021-11-03T05:23:23.617Z,18692,4322,50,51,51710
