CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,8,51133
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,8,51133
herringm,2021-11-02T18:43:09.683Z,0,0,0,8,51133
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,8,51133
herringm,2021-11-02T23:00:02.290Z,0,0,0,8,51133
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,8,51133
herringm,2021-11-02T23:36:24.123Z,1085,0,5,8,51133
miyaresj,2021-11-02T23:36:24.123Z,2710,0,5,8,51133
herringm,2021-11-02T23:44:29.777Z,2323,1238,7,8,51133
miyaresj,2021-11-02T23:44:29.777Z,4138,1428,7,8,51133
