CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,16,51141
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,16,51141
herringm,2021-11-02T18:43:09.683Z,0,0,0,16,51141
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,16,51141
herringm,2021-11-02T23:00:02.290Z,0,0,0,16,51141
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,16,51141
herringm,2021-11-02T23:46:31.907Z,63,0,1,16,51141
miyaresj,2021-11-02T23:46:31.907Z,315,0,1,16,51141
herringm,2021-11-02T23:53:37.083Z,628,0,9,16,51141
miyaresj,2021-11-02T23:53:37.083Z,3340,0,9,16,51141
herringm,2021-11-03T00:04:47.213Z,802,0,12,16,51141
miyaresj,2021-11-03T00:04:47.213Z,4329,0,12,16,51141
herringm,2021-11-03T00:13:54.950Z,850,0,13,16,51141
miyaresj,2021-11-03T00:13:54.950Z,4644,0,13,16,51141
herringm,2021-11-03T00:54:28.790Z,1343,493,15,16,51141
miyaresj,2021-11-03T00:54:28.790Z,5851,1207,15,16,51141
