CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,13,51149
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,13,51149
herringm,2021-11-02T18:43:09.683Z,0,0,0,13,51149
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,13,51149
herringm,2021-11-02T23:00:02.290Z,0,0,0,13,51149
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,13,51149
herringm,2021-11-02T23:33:21.983Z,290,0,1,13,51149
miyaresj,2021-11-02T23:33:21.983Z,1375,0,1,13,51149
herringm,2021-11-03T00:02:45.207Z,905,0,3,13,51149
miyaresj,2021-11-03T00:02:45.207Z,2817,0,3,13,51149
herringm,2021-11-03T00:08:50.407Z,1231,0,6,13,51149
miyaresj,2021-11-03T00:08:50.407Z,3489,0,6,13,51149
herringm,2021-11-03T00:21:01.940Z,1534,0,7,13,51149
miyaresj,2021-11-03T00:21:01.940Z,4261,0,7,13,51149
herringm,2021-11-03T00:42:19.340Z,4362,0,11,13,51149
miyaresj,2021-11-03T00:42:19.340Z,7797,0,11,13,51149
herringm,2021-11-03T00:47:23.493Z,4622,0,12,13,51149
miyaresj,2021-11-03T00:47:23.493Z,8502,0,12,13,51149
