CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,7,51750
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,7,51750
herringm,2021-11-02T18:43:09.683Z,0,0,0,7,51750
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,7,51750
herringm,2021-11-02T23:00:02.290Z,0,0,0,7,51750
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,7,51750
herringm,2021-11-02T23:35:23.430Z,676,676,1,7,51750
miyaresj,2021-11-02T23:35:23.430Z,615,615,1,7,51750
herringm,2021-11-02T23:44:29.777Z,1134,903,3,7,51750
miyaresj,2021-11-02T23:44:29.777Z,954,693,3,7,51750
herringm,2021-11-02T23:53:37.083Z,1620,903,5,7,51750
miyaresj,2021-11-02T23:53:37.083Z,1627,693,5,7,51750
herringm,2021-11-03T00:04:47.213Z,1926,903,6,7,51750
miyaresj,2021-11-03T00:04:47.213Z,2225,693,6,7,51750
