CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,36,51161
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,36,51161
herringm,2021-11-02T18:43:09.683Z,0,0,0,36,51161
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,36,51161
herringm,2021-11-02T23:00:02.290Z,0,0,0,36,51161
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,36,51161
herringm,2021-11-02T23:57:40.297Z,1418,0,6,36,51161
miyaresj,2021-11-02T23:57:40.297Z,4042,0,6,36,51161
herringm,2021-11-03T00:34:12.177Z,4547,4547,1,36,51161
miyaresj,2021-11-03T00:34:12.177Z,7279,7279,1,36,51161
herringm,2021-11-03T00:43:20.307Z,4993,4547,3,36,51161
miyaresj,2021-11-03T00:43:20.307Z,8250,7279,3,36,51161
herringm,2021-11-03T00:54:28.790Z,5562,4547,5,36,51161
miyaresj,2021-11-03T00:54:28.790Z,9155,7279,5,36,51161
herringm,2021-11-03T01:04:40.227Z,5930,4547,7,36,51161
miyaresj,2021-11-03T01:04:40.227Z,10039,7279,7,36,51161
herringm,2021-11-03T01:14:48.967Z,7667,4547,14,36,51161
miyaresj,2021-11-03T01:14:48.967Z,14503,7279,14,36,51161
herringm,2021-11-03T01:24:56.073Z,9961,4547,24,36,51161
miyaresj,2021-11-03T01:24:56.073Z,20646,7279,24,36,51161
herringm,2021-11-03T01:44:09.337Z,10791,4547,28,36,51161
miyaresj,2021-11-03T01:44:09.337Z,22747,7279,28,36,51161
herringm,2021-11-03T01:54:17.073Z,13493,6622,32,36,51161
miyaresj,2021-11-03T01:54:17.073Z,25990,8365,32,36,51161
herringm,2021-11-03T02:04:23.423Z,14521,6622,35,36,51161
miyaresj,2021-11-03T02:04:23.423Z,27887,8365,35,36,51161
