CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,23,51185
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,23,51185
herringm,2021-11-02T18:43:09.683Z,0,0,0,23,51185
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,23,51185
herringm,2021-11-02T23:00:02.290Z,0,0,0,23,51185
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,23,51185
herringm,2021-11-02T23:36:24.123Z,976,941,4,23,51185
miyaresj,2021-11-02T23:36:24.123Z,3796,3359,4,23,51185
herringm,2021-11-02T23:44:29.777Z,1037,941,8,23,51185
miyaresj,2021-11-02T23:44:29.777Z,4447,3359,8,23,51185
herringm,2021-11-02T23:53:37.083Z,1439,941,14,23,51185
miyaresj,2021-11-02T23:53:37.083Z,8198,3359,14,23,51185
herringm,2021-11-03T00:04:47.213Z,1820,941,19,23,51185
miyaresj,2021-11-03T00:04:47.213Z,10605,3359,19,23,51185
herringm,2021-11-03T00:13:54.950Z,1934,941,22,23,51185
miyaresj,2021-11-03T00:13:54.950Z,11865,3359,22,23,51185
