CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
herringm,2021-11-01T12:58:11.037Z,0,0,0,5,51830
miyaresj,2021-11-01T12:58:11.037Z,0,0,0,5,51830
herringm,2021-11-02T18:43:09.683Z,0,0,0,5,51830
miyaresj,2021-11-02T18:43:09.683Z,0,0,0,5,51830
herringm,2021-11-02T23:00:02.290Z,0,0,0,5,51830
miyaresj,2021-11-02T23:00:02.290Z,0,0,0,5,51830
herringm,2021-11-03T00:25:05.690Z,2599,1873,3,5,51830
miyaresj,2021-11-03T00:25:05.690Z,1375,897,3,5,51830
herringm,2021-11-03T00:34:12.177Z,3183,1873,4,5,51830
miyaresj,2021-11-03T00:34:12.177Z,1694,897,4,5,51830
