CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,15,51005
searsw,2021-11-01T12:58:11.037Z,0,0,0,15,51005
ayalah,2021-11-02T18:43:09.683Z,0,0,0,15,51005
searsw,2021-11-02T18:43:09.683Z,0,0,0,15,51005
ayalah,2021-11-02T23:00:02.290Z,0,0,0,15,51005
searsw,2021-11-02T23:00:02.290Z,0,0,0,15,51005
ayalah,2021-11-02T23:56:39.610Z,239,0,4,15,51005
searsw,2021-11-02T23:56:39.610Z,1188,0,4,15,51005
ayalah,2021-11-03T00:04:47.213Z,398,0,6,15,51005
searsw,2021-11-03T00:04:47.213Z,1902,0,6,15,51005
ayalah,2021-11-03T00:14:55.703Z,624,0,9,15,51005
searsw,2021-11-03T00:14:55.703Z,2676,0,9,15,51005
ayalah,2021-11-03T00:25:05.690Z,977,0,11,15,51005
searsw,2021-11-03T00:25:05.690Z,3654,0,11,15,51005
ayalah,2021-11-03T00:34:12.177Z,1151,0,12,15,51005
searsw,2021-11-03T00:34:12.177Z,3930,0,12,15,51005
ayalah,2021-11-03T01:44:09.337Z,1607,456,14,15,51005
searsw,2021-11-03T01:44:09.337Z,4429,499,14,15,51005
