CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,57,51013
searsw,2021-11-01T12:58:11.037Z,0,0,0,57,51013
ayalah,2021-11-02T18:43:09.683Z,0,0,0,57,51013
searsw,2021-11-02T18:43:09.683Z,0,0,0,57,51013
ayalah,2021-11-02T23:00:02.290Z,0,0,0,57,51013
searsw,2021-11-02T23:00:02.290Z,0,0,0,57,51013
ayalah,2021-11-02T23:25:16.190Z,22642,22642,1,57,51013
searsw,2021-11-02T23:25:16.190Z,4925,4925,1,57,51013
ayalah,2021-11-02T23:44:29.777Z,24702,22642,5,57,51013
searsw,2021-11-02T23:44:29.777Z,5645,4925,5,57,51013
ayalah,2021-11-02T23:53:37.083Z,26243,22642,7,57,51013
searsw,2021-11-02T23:53:37.083Z,6239,4925,7,57,51013
ayalah,2021-11-03T00:04:47.213Z,28976,22642,11,57,51013
searsw,2021-11-03T00:04:47.213Z,7248,4925,11,57,51013
ayalah,2021-11-03T00:13:54.950Z,41655,34050,14,57,51013
searsw,2021-11-03T00:13:54.950Z,9463,6606,14,57,51013
ayalah,2021-11-03T00:25:05.690Z,49175,34050,26,57,51013
searsw,2021-11-03T00:25:05.690Z,12442,6606,26,57,51013
ayalah,2021-11-03T00:34:12.177Z,54488,34050,33,57,51013
searsw,2021-11-03T00:34:12.177Z,14438,6606,33,57,51013
ayalah,2021-11-03T00:43:20.307Z,58140,34050,38,57,51013
searsw,2021-11-03T00:43:20.307Z,16079,6606,38,57,51013
ayalah,2021-11-03T00:54:28.790Z,61284,34050,42,57,51013
searsw,2021-11-03T00:54:28.790Z,17238,6606,42,57,51013
ayalah,2021-11-03T01:03:39.063Z,62138,34050,43,57,51013
searsw,2021-11-03T01:03:39.063Z,17608,6606,43,57,51013
ayalah,2021-11-03T01:14:48.967Z,63584,34050,45,57,51013
searsw,2021-11-03T01:14:48.967Z,18086,6606,45,57,51013
ayalah,2021-11-03T01:23:55.377Z,65012,34050,47,57,51013
searsw,2021-11-03T01:23:55.377Z,18824,6606,47,57,51013
ayalah,2021-11-03T01:44:09.337Z,67734,34050,51,57,51013
searsw,2021-11-03T01:44:09.337Z,19923,6606,51,57,51013
ayalah,2021-11-03T01:54:17.073Z,68551,34050,52,57,51013
searsw,2021-11-03T01:54:17.073Z,20202,6606,52,57,51013
ayalah,2021-11-03T02:04:23.423Z,70871,34532,54,57,51013
searsw,2021-11-03T02:04:23.423Z,20896,6661,54,57,51013
ayalah,2021-11-03T02:14:30.530Z,71216,34532,55,57,51013
searsw,2021-11-03T02:14:30.530Z,21032,6661,55,57,51013
ayalah,2021-11-03T02:54:56.717Z,71862,34532,56,57,51013
searsw,2021-11-03T02:54:56.717Z,21214,6661,56,57,51013
