CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,13,51023
searsw,2021-11-01T12:58:11.037Z,0,0,0,13,51023
ayalah,2021-11-02T18:43:09.683Z,0,0,0,13,51023
searsw,2021-11-02T18:43:09.683Z,0,0,0,13,51023
ayalah,2021-11-02T23:00:02.290Z,0,0,0,13,51023
searsw,2021-11-02T23:00:02.290Z,0,0,0,13,51023
ayalah,2021-11-02T23:46:31.907Z,547,0,3,13,51023
searsw,2021-11-02T23:46:31.907Z,2758,0,3,13,51023
ayalah,2021-11-02T23:53:37.083Z,699,0,4,13,51023
searsw,2021-11-02T23:53:37.083Z,3419,0,4,13,51023
ayalah,2021-11-03T00:04:47.213Z,3403,1967,9,13,51023
searsw,2021-11-03T00:04:47.213Z,10075,3607,9,13,51023
ayalah,2021-11-03T00:13:54.950Z,3904,1967,11,13,51023
searsw,2021-11-03T00:13:54.950Z,11998,3607,11,13,51023
ayalah,2021-11-03T00:41:18.277Z,3904,0,12,13,51023
searsw,2021-11-03T00:41:18.277Z,11998,0,12,13,51023
ayalah,2021-11-03T00:56:30.213Z,4072,1967,12,13,51023
searsw,2021-11-03T00:56:30.213Z,12915,3607,12,13,51023
