CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,20,51027
searsw,2021-11-01T12:58:11.037Z,0,0,0,20,51027
ayalah,2021-11-02T18:43:09.683Z,0,0,0,20,51027
searsw,2021-11-02T18:43:09.683Z,0,0,0,20,51027
ayalah,2021-11-02T23:00:02.290Z,0,0,0,20,51027
searsw,2021-11-02T23:00:02.290Z,0,0,0,20,51027
ayalah,2021-11-02T23:13:07.517Z,10,0,1,20,51027
searsw,2021-11-02T23:13:07.517Z,46,0,1,20,51027
ayalah,2021-11-02T23:24:15.483Z,258,0,7,20,51027
searsw,2021-11-02T23:24:15.483Z,1442,0,7,20,51027
ayalah,2021-11-02T23:33:21.983Z,861,287,18,20,51027
searsw,2021-11-02T23:33:21.983Z,4701,740,18,20,51027
ayalah,2021-11-02T23:44:29.777Z,897,287,19,20,51027
searsw,2021-11-02T23:44:29.777Z,4978,740,19,20,51027
