CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,10,51037
searsw,2021-11-01T12:58:11.037Z,0,0,0,10,51037
ayalah,2021-11-02T18:43:09.683Z,0,0,0,10,51037
searsw,2021-11-02T18:43:09.683Z,0,0,0,10,51037
ayalah,2021-11-02T23:00:02.290Z,0,0,0,10,51037
searsw,2021-11-02T23:00:02.290Z,0,0,0,10,51037
ayalah,2021-11-03T00:34:12.177Z,485,0,4,10,51037
searsw,2021-11-03T00:34:12.177Z,1500,0,4,10,51037
ayalah,2021-11-03T01:03:39.063Z,698,0,6,10,51037
searsw,2021-11-03T01:03:39.063Z,2241,0,6,10,51037
ayalah,2021-11-03T01:23:55.377Z,822,0,7,10,51037
searsw,2021-11-03T01:23:55.377Z,2600,0,7,10,51037
ayalah,2021-11-03T01:44:09.337Z,997,175,8,10,51037
searsw,2021-11-03T01:44:09.337Z,2658,58,8,10,51037
ayalah,2021-11-03T01:54:17.073Z,1424,602,9,10,51037
searsw,2021-11-03T01:54:17.073Z,3312,712,9,10,51037
