CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,83,51041
searsw,2021-11-01T12:58:11.037Z,0,0,0,83,51041
ayalah,2021-11-02T18:43:09.683Z,0,0,0,83,51041
searsw,2021-11-02T18:43:09.683Z,0,0,0,83,51041
ayalah,2021-11-02T23:00:02.290Z,0,0,0,83,51041
searsw,2021-11-02T23:00:02.290Z,0,0,0,83,51041
ayalah,2021-11-02T23:13:07.517Z,159,159,1,83,51041
searsw,2021-11-02T23:13:07.517Z,293,293,1,83,51041
ayalah,2021-11-02T23:14:08.723Z,1888,159,6,83,51041
searsw,2021-11-02T23:14:08.723Z,2395,293,6,83,51041
ayalah,2021-11-02T23:18:11.227Z,7380,159,20,83,51041
searsw,2021-11-02T23:18:11.227Z,7272,293,20,83,51041
ayalah,2021-11-02T23:20:12.613Z,11215,159,29,83,51041
searsw,2021-11-02T23:20:12.613Z,12173,293,29,83,51041
ayalah,2021-11-02T23:22:14.077Z,13775,159,33,83,51041
searsw,2021-11-02T23:22:14.077Z,14444,293,33,83,51041
ayalah,2021-11-02T23:23:14.753Z,14731,159,35,83,51041
searsw,2021-11-02T23:23:14.753Z,15786,293,35,83,51041
ayalah,2021-11-02T23:24:15.483Z,17184,159,40,83,51041
searsw,2021-11-02T23:24:15.483Z,18698,293,40,83,51041
ayalah,2021-11-02T23:25:16.190Z,17614,159,41,83,51041
searsw,2021-11-02T23:25:16.190Z,19251,293,41,83,51041
ayalah,2021-11-02T23:26:16.893Z,19676,159,45,83,51041
searsw,2021-11-02T23:26:16.893Z,21555,293,45,83,51041
ayalah,2021-11-02T23:28:18.467Z,20673,159,47,83,51041
searsw,2021-11-02T23:28:18.467Z,22385,293,47,83,51041
ayalah,2021-11-02T23:30:19.793Z,21770,159,49,83,51041
searsw,2021-11-02T23:30:19.793Z,24104,293,49,83,51041
ayalah,2021-11-02T23:32:21.170Z,22667,159,51,83,51041
searsw,2021-11-02T23:32:21.170Z,24791,293,51,83,51041
ayalah,2021-11-02T23:35:23.430Z,23433,159,52,83,51041
searsw,2021-11-02T23:35:23.430Z,25609,293,52,83,51041
ayalah,2021-11-02T23:36:24.123Z,24412,159,54,83,51041
searsw,2021-11-02T23:36:24.123Z,27702,293,54,83,51041
ayalah,2021-11-02T23:37:24.843Z,25173,159,55,83,51041
searsw,2021-11-02T23:37:24.843Z,28953,293,55,83,51041
ayalah,2021-11-02T23:40:26.937Z,25592,159,56,83,51041
searsw,2021-11-02T23:40:26.937Z,29708,293,56,83,51041
ayalah,2021-11-02T23:41:27.630Z,26946,159,58,83,51041
searsw,2021-11-02T23:41:27.630Z,31280,293,58,83,51041
ayalah,2021-11-02T23:43:28.980Z,28509,159,61,83,51041
searsw,2021-11-02T23:43:28.980Z,33898,293,61,83,51041
ayalah,2021-11-02T23:45:30.590Z,28948,159,63,83,51041
searsw,2021-11-02T23:45:30.590Z,34764,293,63,83,51041
ayalah,2021-11-02T23:46:31.907Z,29709,159,64,83,51041
searsw,2021-11-02T23:46:31.907Z,35915,293,64,83,51041
ayalah,2021-11-02T23:50:34.703Z,30119,159,65,83,51041
searsw,2021-11-02T23:50:34.703Z,36339,293,65,83,51041
ayalah,2021-11-02T23:57:40.297Z,31018,159,67,83,51041
searsw,2021-11-02T23:57:40.297Z,38187,293,67,83,51041
ayalah,2021-11-03T00:03:45.903Z,31624,159,68,83,51041
searsw,2021-11-03T00:03:45.903Z,38442,293,68,83,51041
ayalah,2021-11-03T00:04:47.213Z,32359,159,69,83,51041
searsw,2021-11-03T00:04:47.213Z,39490,293,69,83,51041
ayalah,2021-11-03T00:14:55.703Z,32903,159,70,83,51041
searsw,2021-11-03T00:14:55.703Z,40226,293,70,83,51041
ayalah,2021-11-03T00:15:57.147Z,33174,159,43,83,51041
searsw,2021-11-03T00:15:57.147Z,40702,293,43,83,51041
ayalah,2021-11-03T00:42:19.340Z,33174,159,71,83,51041
searsw,2021-11-03T00:42:19.340Z,40702,293,71,83,51041
ayalah,2021-11-03T00:52:27.400Z,33480,159,44,83,51041
searsw,2021-11-03T00:52:27.400Z,41182,293,44,83,51041
ayalah,2021-11-03T01:28:58.853Z,34613,159,75,83,51041
searsw,2021-11-03T01:28:58.853Z,43183,293,75,83,51041
ayalah,2021-11-03T02:09:26.943Z,35789,159,77,83,51041
searsw,2021-11-03T02:09:26.943Z,44089,293,77,83,51041
ayalah,2021-11-03T02:28:39.867Z,36511,159,77,83,51041
searsw,2021-11-03T02:28:39.867Z,45229,293,77,83,51041
ayalah,2021-11-03T02:31:42.743Z,36752,159,79,83,51041
searsw,2021-11-03T02:31:42.743Z,45548,293,79,83,51041
ayalah,2021-11-03T02:41:48.577Z,37209,159,80,83,51041
searsw,2021-11-03T02:41:48.577Z,46417,293,80,83,51041
ayalah,2021-11-03T02:47:52.857Z,37731,159,81,83,51041
searsw,2021-11-03T02:47:52.857Z,47357,293,81,83,51041
ayalah,2021-11-03T03:05:05.470Z,38257,159,81,83,51041
searsw,2021-11-03T03:05:05.470Z,48153,293,81,83,51041
ayalah,2021-11-03T04:08:43.170Z,38257,22667,82,83,51041
searsw,2021-11-03T04:08:43.170Z,48153,24791,82,83,51041
ayalah,2021-11-03T04:19:48.063Z,38257,0,80,83,51041
searsw,2021-11-03T04:19:48.063Z,48153,0,80,83,51041
ayalah,2021-11-03T04:54:09.073Z,65014,26757,81,83,51041
searsw,2021-11-03T04:54:09.073Z,78580,30427,81,83,51041
ayalah,2021-11-03T06:21:50.900Z,75639,37382,82,83,51041
searsw,2021-11-03T06:21:50.900Z,82958,34805,82,83,51041
