CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,10,51043
searsw,2021-11-01T12:58:11.037Z,0,0,0,10,51043
ayalah,2021-11-02T18:43:09.683Z,0,0,0,10,51043
searsw,2021-11-02T18:43:09.683Z,0,0,0,10,51043
ayalah,2021-11-02T23:00:02.290Z,0,0,0,10,51043
searsw,2021-11-02T23:00:02.290Z,0,0,0,10,51043
ayalah,2021-11-02T23:44:29.777Z,506,0,3,10,51043
searsw,2021-11-02T23:44:29.777Z,1162,0,3,10,51043
ayalah,2021-11-02T23:53:37.083Z,1388,0,7,10,51043
searsw,2021-11-02T23:53:37.083Z,3228,0,7,10,51043
ayalah,2021-11-03T00:34:12.177Z,2756,1368,9,10,51043
searsw,2021-11-03T00:34:12.177Z,4589,1361,9,10,51043
