CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,23,51061
searsw,2021-11-01T12:58:11.037Z,0,0,0,23,51061
ayalah,2021-11-02T18:43:09.683Z,0,0,0,23,51061
searsw,2021-11-02T18:43:09.683Z,0,0,0,23,51061
ayalah,2021-11-02T23:00:02.290Z,0,0,0,23,51061
searsw,2021-11-02T23:00:02.290Z,0,0,0,23,51061
ayalah,2021-11-02T23:27:17.730Z,1576,0,4,23,51061
searsw,2021-11-02T23:27:17.730Z,2028,0,4,23,51061
ayalah,2021-11-02T23:33:21.983Z,2971,0,10,23,51061
searsw,2021-11-02T23:33:21.983Z,6638,0,10,23,51061
ayalah,2021-11-02T23:44:29.777Z,4878,0,16,23,51061
searsw,2021-11-02T23:44:29.777Z,11827,0,16,23,51061
ayalah,2021-11-02T23:53:37.083Z,5195,0,17,23,51061
searsw,2021-11-02T23:53:37.083Z,12691,0,17,23,51061
ayalah,2021-11-03T00:04:47.213Z,5719,0,19,23,51061
searsw,2021-11-03T00:04:47.213Z,14242,0,19,23,51061
ayalah,2021-11-03T00:17:59.097Z,5952,0,20,23,51061
searsw,2021-11-03T00:17:59.097Z,14931,0,20,23,51061
ayalah,2021-11-03T03:15:12.450Z,11416,5697,21,23,51061
searsw,2021-11-03T03:15:12.450Z,21399,7157,21,23,51061
ayalah,2021-11-03T03:34:22.870Z,11654,5697,22,23,51061
searsw,2021-11-03T03:34:22.870Z,22088,7157,22,23,51061
ayalah,2021-11-03T03:50:32.667Z,11649,0,23,23,51061
searsw,2021-11-03T03:50:32.667Z,22088,0,23,23,51061
ayalah,2021-11-03T03:52:34.057Z,11654,5697,22,23,51061
searsw,2021-11-03T03:52:34.057Z,22088,7157,22,23,51061
