CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,8,51065
searsw,2021-11-01T12:58:11.037Z,0,0,0,8,51065
ayalah,2021-11-02T18:43:09.683Z,0,0,0,8,51065
searsw,2021-11-02T18:43:09.683Z,0,0,0,8,51065
ayalah,2021-11-02T23:00:02.290Z,0,0,0,8,51065
searsw,2021-11-02T23:00:02.290Z,0,0,0,8,51065
ayalah,2021-11-02T23:46:31.907Z,386,0,1,8,51065
searsw,2021-11-02T23:46:31.907Z,839,0,1,8,51065
ayalah,2021-11-03T00:04:47.213Z,1349,0,3,8,51065
searsw,2021-11-03T00:04:47.213Z,2549,0,3,8,51065
ayalah,2021-11-03T00:13:54.950Z,2111,0,5,8,51065
searsw,2021-11-03T00:13:54.950Z,4403,0,5,8,51065
ayalah,2021-11-03T01:03:39.063Z,4287,2176,6,8,51065
searsw,2021-11-03T01:03:39.063Z,6855,2452,6,8,51065
ayalah,2021-11-03T01:44:09.337Z,5210,3099,7,8,51065
searsw,2021-11-03T01:44:09.337Z,7072,2669,7,8,51065
