CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,8,51079
searsw,2021-11-01T12:58:11.037Z,0,0,0,8,51079
ayalah,2021-11-02T18:43:09.683Z,0,0,0,8,51079
searsw,2021-11-02T18:43:09.683Z,0,0,0,8,51079
ayalah,2021-11-02T23:00:02.290Z,0,0,0,8,51079
searsw,2021-11-02T23:00:02.290Z,0,0,0,8,51079
ayalah,2021-11-02T23:46:31.907Z,408,0,1,8,51079
searsw,2021-11-02T23:46:31.907Z,1008,0,1,8,51079
ayalah,2021-11-02T23:53:37.083Z,1098,0,4,8,51079
searsw,2021-11-02T23:53:37.083Z,3118,0,4,8,51079
ayalah,2021-11-03T00:04:47.213Z,1543,445,5,8,51079
searsw,2021-11-03T00:04:47.213Z,3277,159,5,8,51079
ayalah,2021-11-03T00:13:54.950Z,1774,445,6,8,51079
searsw,2021-11-03T00:13:54.950Z,4143,159,6,8,51079
ayalah,2021-11-03T00:25:05.690Z,2779,1450,7,8,51079
searsw,2021-11-03T00:25:05.690Z,5981,1997,7,8,51079
