CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,17,51093
searsw,2021-11-01T12:58:11.037Z,0,0,0,17,51093
ayalah,2021-11-02T18:43:09.683Z,0,0,0,17,51093
searsw,2021-11-02T18:43:09.683Z,0,0,0,17,51093
ayalah,2021-11-02T23:00:02.290Z,0,0,0,17,51093
searsw,2021-11-02T23:00:02.290Z,0,0,0,17,51093
ayalah,2021-11-02T23:33:21.983Z,230,0,2,17,51093
searsw,2021-11-02T23:33:21.983Z,491,0,2,17,51093
ayalah,2021-11-02T23:44:29.777Z,2061,0,7,17,51093
searsw,2021-11-02T23:44:29.777Z,4581,0,7,17,51093
ayalah,2021-11-02T23:53:37.083Z,3400,0,13,17,51093
searsw,2021-11-02T23:53:37.083Z,8455,0,13,17,51093
ayalah,2021-11-03T00:04:47.213Z,3850,0,14,17,51093
searsw,2021-11-03T00:04:47.213Z,8888,0,14,17,51093
ayalah,2021-11-03T00:17:59.097Z,6484,0,17,17,51093
searsw,2021-11-03T00:17:59.097Z,11978,0,17,17,51093
ayalah,2021-11-03T00:36:14.013Z,6484,0,15,17,51093
searsw,2021-11-03T00:36:14.013Z,11978,0,15,17,51093
ayalah,2021-11-03T04:58:11.947Z,3850,2634,14,17,51093
searsw,2021-11-03T04:58:11.947Z,8888,3090,14,17,51093
ayalah,2021-11-03T04:59:12.660Z,6484,0,15,17,51093
searsw,2021-11-03T04:59:12.660Z,11978,0,15,17,51093
