CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,22,51095
searsw,2021-11-01T12:58:11.037Z,0,0,0,22,51095
ayalah,2021-11-02T18:43:09.683Z,0,0,0,22,51095
searsw,2021-11-02T18:43:09.683Z,0,0,0,22,51095
ayalah,2021-11-02T23:00:02.290Z,0,0,0,22,51095
searsw,2021-11-02T23:00:02.290Z,0,0,0,22,51095
ayalah,2021-11-02T23:26:16.893Z,1902,0,5,22,51095
searsw,2021-11-02T23:26:16.893Z,2911,0,5,22,51095
ayalah,2021-11-02T23:33:21.983Z,4036,0,11,22,51095
searsw,2021-11-02T23:33:21.983Z,6448,0,11,22,51095
ayalah,2021-11-02T23:44:29.777Z,6108,0,16,22,51095
searsw,2021-11-02T23:44:29.777Z,10417,0,16,22,51095
ayalah,2021-11-03T00:54:28.790Z,6327,0,17,22,51095
searsw,2021-11-03T00:54:28.790Z,10677,0,17,22,51095
ayalah,2021-11-03T01:03:39.063Z,6531,0,18,22,51095
searsw,2021-11-03T01:03:39.063Z,10914,0,18,22,51095
ayalah,2021-11-03T01:44:09.337Z,6931,0,19,22,51095
searsw,2021-11-03T01:44:09.337Z,11151,0,19,22,51095
ayalah,2021-11-03T04:05:40.990Z,15862,8931,20,22,51095
searsw,2021-11-03T04:05:40.990Z,20144,8993,20,22,51095
ayalah,2021-11-03T04:34:58.113Z,18562,11631,21,22,51095
searsw,2021-11-03T04:34:58.113Z,21178,10027,21,22,51095
