CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,101,51107
searsw,2021-11-01T12:58:11.037Z,0,0,0,101,51107
ayalah,2021-11-02T18:43:09.683Z,0,0,0,101,51107
searsw,2021-11-02T18:43:09.683Z,0,0,0,101,51107
ayalah,2021-11-02T23:00:02.290Z,0,0,0,101,51107
searsw,2021-11-02T23:00:02.290Z,0,0,0,101,51107
ayalah,2021-11-02T23:27:17.730Z,38847,0,34,101,51107
searsw,2021-11-02T23:27:17.730Z,31919,0,34,101,51107
ayalah,2021-11-02T23:34:22.757Z,57362,0,67,101,51107
searsw,2021-11-02T23:34:22.757Z,49101,0,67,101,51107
ayalah,2021-11-02T23:38:25.560Z,62713,0,77,101,51107
searsw,2021-11-02T23:38:25.560Z,54634,0,77,101,51107
ayalah,2021-11-02T23:39:26.243Z,63458,0,79,101,51107
searsw,2021-11-02T23:39:26.243Z,55610,0,79,101,51107
ayalah,2021-11-02T23:46:31.907Z,66239,0,84,101,51107
searsw,2021-11-02T23:46:31.907Z,57981,0,84,101,51107
ayalah,2021-11-02T23:54:37.840Z,66239,23132,84,101,51107
searsw,2021-11-02T23:54:37.840Z,57981,17162,84,101,51107
ayalah,2021-11-02T23:55:38.513Z,67703,23132,84,101,51107
searsw,2021-11-02T23:55:38.513Z,60091,17162,84,101,51107
ayalah,2021-11-03T00:10:52.177Z,83438,23132,93,101,51107
searsw,2021-11-03T00:10:52.177Z,66321,17162,93,101,51107
ayalah,2021-11-03T00:16:58.267Z,83473,23132,94,101,51107
searsw,2021-11-03T00:16:58.267Z,66354,17162,94,101,51107
ayalah,2021-11-03T00:27:07.160Z,86541,23132,99,101,51107
searsw,2021-11-03T00:27:07.160Z,69627,17162,99,101,51107
ayalah,2021-11-03T00:34:12.177Z,86541,36237,99,101,51107
searsw,2021-11-03T00:34:12.177Z,69627,21806,99,101,51107
ayalah,2021-11-03T00:50:25.910Z,87057,36237,100,101,51107
searsw,2021-11-03T00:50:25.910Z,69976,21806,100,101,51107
ayalah,2021-11-03T01:04:40.227Z,88869,36237,100,101,51107
searsw,2021-11-03T01:04:40.227Z,72415,21806,100,101,51107
ayalah,2021-11-03T01:23:55.377Z,88409,36237,100,101,51107
searsw,2021-11-03T01:23:55.377Z,72015,21806,100,101,51107
ayalah,2021-11-03T01:44:09.337Z,87057,36237,100,101,51107
searsw,2021-11-03T01:44:09.337Z,69974,21806,100,101,51107
ayalah,2021-11-03T01:54:17.073Z,87736,36237,100,101,51107
searsw,2021-11-03T01:54:17.073Z,70582,21806,100,101,51107
