CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,9,51119
searsw,2021-11-01T12:58:11.037Z,0,0,0,9,51119
ayalah,2021-11-02T18:43:09.683Z,0,0,0,9,51119
searsw,2021-11-02T18:43:09.683Z,0,0,0,9,51119
ayalah,2021-11-02T23:00:02.290Z,0,0,0,9,51119
searsw,2021-11-02T23:00:02.290Z,0,0,0,9,51119
ayalah,2021-11-02T23:26:16.893Z,199,199,1,9,51119
searsw,2021-11-02T23:26:16.893Z,419,419,1,9,51119
ayalah,2021-11-02T23:36:24.123Z,343,0,2,9,51119
searsw,2021-11-02T23:36:24.123Z,759,0,2,9,51119
ayalah,2021-11-02T23:44:29.777Z,786,204,4,9,51119
searsw,2021-11-02T23:44:29.777Z,1292,88,4,9,51119
ayalah,2021-11-02T23:53:37.083Z,1049,204,6,9,51119
searsw,2021-11-02T23:53:37.083Z,1928,88,6,9,51119
ayalah,2021-11-03T00:04:47.213Z,1264,204,7,9,51119
searsw,2021-11-03T00:04:47.213Z,2818,88,7,9,51119
ayalah,2021-11-03T00:13:54.950Z,1875,815,8,9,51119
searsw,2021-11-03T00:13:54.950Z,3695,965,8,9,51119
