CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,8,51131
searsw,2021-11-01T12:58:11.037Z,0,0,0,8,51131
ayalah,2021-11-02T18:43:09.683Z,0,0,0,8,51131
searsw,2021-11-02T18:43:09.683Z,0,0,0,8,51131
ayalah,2021-11-02T23:00:02.290Z,0,0,0,8,51131
searsw,2021-11-02T23:00:02.290Z,0,0,0,8,51131
ayalah,2021-11-02T23:45:30.590Z,415,0,2,8,51131
searsw,2021-11-02T23:45:30.590Z,782,0,2,8,51131
ayalah,2021-11-03T00:04:47.213Z,970,0,4,8,51131
searsw,2021-11-03T00:04:47.213Z,1538,0,4,8,51131
ayalah,2021-11-03T00:22:03.030Z,1254,297,5,8,51131
searsw,2021-11-03T00:22:03.030Z,1735,521,5,8,51131
ayalah,2021-11-03T00:26:06.467Z,2254,1284,6,8,51131
searsw,2021-11-03T00:26:06.467Z,2466,928,6,8,51131
ayalah,2021-11-03T01:14:48.967Z,2538,1284,7,8,51131
searsw,2021-11-03T01:14:48.967Z,2663,928,7,8,51131
ayalah,2021-11-03T01:22:54.650Z,2538,297,6,8,51131
searsw,2021-11-03T01:22:54.650Z,2663,521,6,8,51131
