CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,16,51141
searsw,2021-11-01T12:58:11.037Z,0,0,0,16,51141
ayalah,2021-11-02T18:43:09.683Z,0,0,0,16,51141
searsw,2021-11-02T18:43:09.683Z,0,0,0,16,51141
ayalah,2021-11-02T23:00:02.290Z,0,0,0,16,51141
searsw,2021-11-02T23:00:02.290Z,0,0,0,16,51141
ayalah,2021-11-02T23:46:31.907Z,60,0,1,16,51141
searsw,2021-11-02T23:46:31.907Z,320,0,1,16,51141
ayalah,2021-11-02T23:53:37.083Z,604,0,9,16,51141
searsw,2021-11-02T23:53:37.083Z,3367,0,9,16,51141
ayalah,2021-11-03T00:04:47.213Z,754,0,12,16,51141
searsw,2021-11-03T00:04:47.213Z,4358,0,12,16,51141
ayalah,2021-11-03T00:13:54.950Z,799,0,13,16,51141
searsw,2021-11-03T00:13:54.950Z,4674,0,13,16,51141
ayalah,2021-11-03T00:54:28.790Z,1286,487,15,16,51141
searsw,2021-11-03T00:54:28.790Z,5887,1213,15,16,51141
