CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,32,51143
searsw,2021-11-01T12:58:11.037Z,0,0,0,32,51143
ayalah,2021-11-02T18:43:09.683Z,0,0,0,32,51143
searsw,2021-11-02T18:43:09.683Z,0,0,0,32,51143
ayalah,2021-11-02T23:00:02.290Z,0,0,0,32,51143
searsw,2021-11-02T23:00:02.290Z,0,0,0,32,51143
ayalah,2021-11-02T23:26:16.893Z,136,0,2,32,51143
searsw,2021-11-02T23:26:16.893Z,498,0,2,32,51143
ayalah,2021-11-02T23:44:29.777Z,399,0,3,32,51143
searsw,2021-11-02T23:44:29.777Z,917,0,3,32,51143
ayalah,2021-11-02T23:53:37.083Z,987,0,9,32,51143
searsw,2021-11-02T23:53:37.083Z,4178,0,9,32,51143
ayalah,2021-11-03T00:04:47.213Z,2045,0,15,32,51143
searsw,2021-11-03T00:04:47.213Z,8258,0,15,32,51143
ayalah,2021-11-03T00:13:54.950Z,4425,1857,21,32,51143
searsw,2021-11-03T00:13:54.950Z,13758,3296,21,32,51143
ayalah,2021-11-03T00:25:05.690Z,5315,1857,25,32,51143
searsw,2021-11-03T00:25:05.690Z,15322,3296,25,32,51143
ayalah,2021-11-03T00:34:12.177Z,6323,1857,30,32,51143
searsw,2021-11-03T00:34:12.177Z,18766,3296,30,32,51143
ayalah,2021-11-03T01:14:48.967Z,6394,1857,31,32,51143
searsw,2021-11-03T01:14:48.967Z,19156,3296,31,32,51143
