CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,34,51740
searsw,2021-11-01T12:58:11.037Z,0,0,0,34,51740
ayalah,2021-11-02T18:43:09.683Z,0,0,0,34,51740
searsw,2021-11-02T18:43:09.683Z,0,0,0,34,51740
ayalah,2021-11-02T23:00:02.290Z,0,0,0,34,51740
searsw,2021-11-02T23:00:02.290Z,0,0,0,34,51740
ayalah,2021-11-02T23:25:16.190Z,371,0,1,34,51740
searsw,2021-11-02T23:25:16.190Z,148,0,1,34,51740
ayalah,2021-11-02T23:33:21.983Z,1347,0,4,34,51740
searsw,2021-11-02T23:33:21.983Z,890,0,4,34,51740
ayalah,2021-11-02T23:44:29.777Z,2413,0,6,34,51740
searsw,2021-11-02T23:44:29.777Z,1400,0,6,34,51740
ayalah,2021-11-02T23:53:37.083Z,3698,0,9,34,51740
searsw,2021-11-02T23:53:37.083Z,1811,0,9,34,51740
ayalah,2021-11-03T00:04:47.213Z,4802,0,12,34,51740
searsw,2021-11-03T00:04:47.213Z,2470,0,12,34,51740
ayalah,2021-11-03T00:13:54.950Z,5393,0,15,34,51740
searsw,2021-11-03T00:13:54.950Z,3678,0,15,34,51740
ayalah,2021-11-03T00:25:05.690Z,6634,0,18,34,51740
searsw,2021-11-03T00:25:05.690Z,3767,0,18,34,51740
ayalah,2021-11-03T00:34:12.177Z,7567,0,20,34,51740
searsw,2021-11-03T00:34:12.177Z,4490,0,20,34,51740
ayalah,2021-11-03T00:43:20.307Z,8777,0,23,34,51740
searsw,2021-11-03T00:43:20.307Z,5352,0,23,34,51740
ayalah,2021-11-03T00:54:28.790Z,9907,0,26,34,51740
searsw,2021-11-03T00:54:28.790Z,6768,0,26,34,51740
ayalah,2021-11-03T01:03:39.063Z,10934,0,28,34,51740
searsw,2021-11-03T01:03:39.063Z,7789,0,28,34,51740
ayalah,2021-11-03T01:14:48.967Z,12247,0,30,34,51740
searsw,2021-11-03T01:14:48.967Z,8312,0,30,34,51740
ayalah,2021-11-03T01:44:09.337Z,12642,0,31,34,51740
searsw,2021-11-03T01:44:09.337Z,8583,0,31,34,51740
ayalah,2021-11-03T01:54:17.073Z,19241,6599,33,34,51740
searsw,2021-11-03T01:54:17.073Z,10137,1554,33,34,51740
