CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,13,51147
searsw,2021-11-01T12:58:11.037Z,0,0,0,13,51147
ayalah,2021-11-02T18:43:09.683Z,0,0,0,13,51147
searsw,2021-11-02T18:43:09.683Z,0,0,0,13,51147
ayalah,2021-11-02T23:00:02.290Z,0,0,0,13,51147
searsw,2021-11-02T23:00:02.290Z,0,0,0,13,51147
ayalah,2021-11-02T23:27:17.730Z,236,0,1,13,51147
searsw,2021-11-02T23:27:17.730Z,260,0,1,13,51147
ayalah,2021-11-02T23:33:21.983Z,447,0,3,13,51147
searsw,2021-11-02T23:33:21.983Z,582,0,3,13,51147
ayalah,2021-11-02T23:44:29.777Z,717,0,4,13,51147
searsw,2021-11-02T23:44:29.777Z,887,0,4,13,51147
ayalah,2021-11-02T23:53:37.083Z,1272,0,6,13,51147
searsw,2021-11-02T23:53:37.083Z,1706,0,6,13,51147
ayalah,2021-11-03T00:13:54.950Z,1624,0,8,13,51147
searsw,2021-11-03T00:13:54.950Z,2096,0,8,13,51147
ayalah,2021-11-03T00:25:05.690Z,1760,0,9,13,51147
searsw,2021-11-03T00:25:05.690Z,2432,0,9,13,51147
ayalah,2021-11-03T00:34:12.177Z,2742,704,11,13,51147
searsw,2021-11-03T00:34:12.177Z,3690,732,11,13,51147
ayalah,2021-11-03T00:43:20.307Z,3192,1154,12,13,51147
searsw,2021-11-03T00:43:20.307Z,3855,897,12,13,51147
