CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,72,51760
searsw,2021-11-01T12:58:11.037Z,0,0,0,72,51760
ayalah,2021-11-02T18:43:09.683Z,0,0,0,72,51760
searsw,2021-11-02T18:43:09.683Z,0,0,0,72,51760
ayalah,2021-11-02T23:00:02.290Z,0,0,0,72,51760
searsw,2021-11-02T23:00:02.290Z,0,0,0,72,51760
ayalah,2021-11-03T00:55:29.530Z,1356,0,4,72,51760
searsw,2021-11-03T00:55:29.530Z,558,0,4,72,51760
ayalah,2021-11-03T01:03:39.063Z,5335,0,11,72,51760
searsw,2021-11-03T01:03:39.063Z,2094,0,11,72,51760
ayalah,2021-11-03T01:14:48.967Z,11309,0,20,72,51760
searsw,2021-11-03T01:14:48.967Z,5090,0,20,72,51760
ayalah,2021-11-03T01:23:55.377Z,15711,0,29,72,51760
searsw,2021-11-03T01:23:55.377Z,7215,0,29,72,51760
ayalah,2021-11-03T01:44:09.337Z,28161,0,48,72,51760
searsw,2021-11-03T01:44:09.337Z,9873,0,48,72,51760
ayalah,2021-11-03T01:54:17.073Z,33588,0,56,72,51760
searsw,2021-11-03T01:54:17.073Z,10770,0,56,72,51760
ayalah,2021-11-03T02:04:23.423Z,36055,0,60,72,51760
searsw,2021-11-03T02:04:23.423Z,11217,0,60,72,51760
ayalah,2021-11-03T02:14:30.530Z,43314,5342,66,72,51760
searsw,2021-11-03T02:14:30.530Z,12358,789,66,72,51760
ayalah,2021-11-03T02:23:37.223Z,61600,22159,70,72,51760
searsw,2021-11-03T02:23:37.223Z,16061,4316,70,72,51760
ayalah,2021-11-03T02:34:45.327Z,61972,22159,71,72,51760
searsw,2021-11-03T02:34:45.327Z,16096,4316,71,72,51760
