CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,36,51161
searsw,2021-11-01T12:58:11.037Z,0,0,0,36,51161
ayalah,2021-11-02T18:43:09.683Z,0,0,0,36,51161
searsw,2021-11-02T18:43:09.683Z,0,0,0,36,51161
ayalah,2021-11-02T23:00:02.290Z,0,0,0,36,51161
searsw,2021-11-02T23:00:02.290Z,0,0,0,36,51161
ayalah,2021-11-02T23:56:39.610Z,1434,0,6,36,51161
searsw,2021-11-02T23:56:39.610Z,4016,0,6,36,51161
ayalah,2021-11-03T00:34:12.177Z,4544,4544,1,36,51161
searsw,2021-11-03T00:34:12.177Z,7258,7258,1,36,51161
ayalah,2021-11-03T00:43:20.307Z,4991,4544,3,36,51161
searsw,2021-11-03T00:43:20.307Z,8222,7258,3,36,51161
ayalah,2021-11-03T00:54:28.790Z,5553,4544,5,36,51161
searsw,2021-11-03T00:54:28.790Z,9138,7258,5,36,51161
ayalah,2021-11-03T00:55:29.530Z,5714,0,22,36,51161
searsw,2021-11-03T00:55:29.530Z,13833,0,22,36,51161
ayalah,2021-11-03T01:15:50.133Z,7682,4544,14,36,51161
searsw,2021-11-03T01:15:50.133Z,14463,7258,14,36,51161
ayalah,2021-11-03T01:24:56.073Z,9990,4544,24,36,51161
searsw,2021-11-03T01:24:56.073Z,20583,7258,24,36,51161
ayalah,2021-11-03T01:44:09.337Z,10810,4544,28,36,51161
searsw,2021-11-03T01:44:09.337Z,22685,7258,28,36,51161
ayalah,2021-11-03T01:54:17.073Z,13518,6612,32,36,51161
searsw,2021-11-03T01:54:17.073Z,25913,8347,32,36,51161
ayalah,2021-11-03T02:04:23.423Z,14540,6612,35,36,51161
searsw,2021-11-03T02:04:23.423Z,27080,8347,35,36,51161
ayalah,2021-11-03T02:14:30.530Z,14540,6612,35,36,51161
searsw,2021-11-03T02:14:30.530Z,27813,8347,35,36,51161
