CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,8,51790
searsw,2021-11-01T12:58:11.037Z,0,0,0,8,51790
ayalah,2021-11-02T18:43:09.683Z,0,0,0,8,51790
searsw,2021-11-02T18:43:09.683Z,0,0,0,8,51790
ayalah,2021-11-02T23:00:02.290Z,0,0,0,8,51790
searsw,2021-11-02T23:00:02.290Z,0,0,0,8,51790
ayalah,2021-11-02T23:51:35.403Z,2318,0,5,8,51790
searsw,2021-11-02T23:51:35.403Z,3119,0,5,8,51790
ayalah,2021-11-03T00:39:16.920Z,4944,0,8,8,51790
searsw,2021-11-03T00:39:16.920Z,4662,0,8,8,51790
ayalah,2021-11-03T01:11:46.013Z,4944,0,7,8,51790
searsw,2021-11-03T01:11:46.013Z,4662,0,7,8,51790
