CANDIDATE,Timestamp,VOTES,ABS_VOTES,REPORTING,PRECINCTS,FIPS
ayalah,2021-11-01T12:58:11.037Z,0,0,0,16,51199
searsw,2021-11-01T12:58:11.037Z,0,0,0,16,51199
ayalah,2021-11-02T18:43:09.683Z,0,0,0,16,51199
searsw,2021-11-02T18:43:09.683Z,0,0,0,16,51199
ayalah,2021-11-02T23:00:02.290Z,0,0,0,16,51199
searsw,2021-11-02T23:00:02.290Z,0,0,0,16,51199
ayalah,2021-11-02T23:36:24.123Z,2422,1419,4,16,51199
searsw,2021-11-02T23:36:24.123Z,3024,556,4,16,51199
ayalah,2021-11-02T23:44:29.777Z,4807,1419,10,16,51199
searsw,2021-11-02T23:44:29.777Z,7432,556,10,16,51199
ayalah,2021-11-02T23:53:37.083Z,6661,1419,14,16,51199
searsw,2021-11-02T23:53:37.083Z,10837,556,14,16,51199
ayalah,2021-11-03T00:04:47.213Z,12072,6830,15,16,51199
searsw,2021-11-03T00:04:47.213Z,17555,7274,15,16,51199
