CANDIDATE,Timestamp,VOTES,ABS_VOTES,ELECTORAL_VOTES
ayala-49323,2021-11-01T12:58:11.037Z,0,0,0
sears-65856,2021-11-01T12:58:11.037Z,0,0,0
ayala-49323,2021-11-02T18:43:09.683Z,0,0,0
sears-65856,2021-11-02T18:43:09.683Z,0,0,0
ayala-49323,2021-11-02T23:00:02.290Z,0,0,0
sears-65856,2021-11-02T23:00:02.290Z,0,0,0
ayala-49323,2021-11-02T23:13:07.517Z,450,159,0
sears-65856,2021-11-02T23:13:07.517Z,1329,293,0
ayala-49323,2021-11-02T23:14:08.723Z,2755,159,0
sears-65856,2021-11-02T23:14:08.723Z,5806,293,0
ayala-49323,2021-11-02T23:18:11.227Z,8247,159,0
sears-65856,2021-11-02T23:18:11.227Z,10683,293,0
ayala-49323,2021-11-02T23:20:12.613Z,12082,159,0
sears-65856,2021-11-02T23:20:12.613Z,15584,293,0
ayala-49323,2021-11-02T23:21:13.390Z,13908,159,0
sears-65856,2021-11-02T23:21:13.390Z,23555,293,0
ayala-49323,2021-11-02T23:22:14.077Z,16468,159,0
sears-65856,2021-11-02T23:22:14.077Z,25826,293,0
ayala-49323,2021-11-02T23:23:14.753Z,17612,159,0
sears-65856,2021-11-02T23:23:14.753Z,28595,293,0
ayala-49323,2021-11-02T23:24:15.483Z,26505,2273,0
sears-65856,2021-11-02T23:24:15.483Z,46916,1345,0
ayala-49323,2021-11-02T23:25:16.190Z,55649,27965,0
sears-65856,2021-11-02T23:25:16.190Z,59145,8104,0
ayala-49323,2021-11-02T23:26:16.893Z,63650,28164,0
sears-65856,2021-11-02T23:26:16.893Z,72754,8523,0
ayala-49323,2021-11-02T23:27:17.730Z,113459,28164,0
sears-65856,2021-11-02T23:27:17.730Z,120546,8523,0
ayala-49323,2021-11-02T23:28:18.467Z,115542,28363,0
sears-65856,2021-11-02T23:28:18.467Z,125482,9129,0
ayala-49323,2021-11-02T23:29:19.143Z,118136,28363,0
sears-65856,2021-11-02T23:29:19.143Z,127563,9129,0
ayala-49323,2021-11-02T23:30:19.793Z,119355,28363,0
sears-65856,2021-11-02T23:30:19.793Z,130043,9129,0
ayala-49323,2021-11-02T23:32:21.170Z,123986,28363,0
sears-65856,2021-11-02T23:32:21.170Z,140443,9129,0
ayala-49323,2021-11-02T23:33:21.983Z,159454,31419,0
sears-65856,2021-11-02T23:33:21.983Z,200387,11670,0
ayala-49323,2021-11-02T23:34:22.757Z,188319,31798,0
sears-65856,2021-11-02T23:34:22.757Z,226741,11842,0
ayala-49323,2021-11-02T23:35:23.430Z,190944,32508,0
sears-65856,2021-11-02T23:35:23.430Z,232044,12894,0
ayala-49323,2021-11-02T23:36:24.123Z,197659,34593,0
sears-65856,2021-11-02T23:36:24.123Z,246944,15991,0
ayala-49323,2021-11-02T23:37:24.843Z,201087,34593,0
sears-65856,2021-11-02T23:37:24.843Z,251986,15991,0
ayala-49323,2021-11-02T23:38:25.560Z,209905,34593,0
sears-65856,2021-11-02T23:38:25.560Z,261073,15991,0
ayala-49323,2021-11-02T23:39:26.243Z,211373,34394,0
sears-65856,2021-11-02T23:39:26.243Z,263675,15385,0
ayala-49323,2021-11-02T23:40:26.937Z,212205,34394,0
sears-65856,2021-11-02T23:40:26.937Z,265831,15385,0
ayala-49323,2021-11-02T23:41:27.630Z,214194,34394,0
sears-65856,2021-11-02T23:41:27.630Z,269702,15385,0
ayala-49323,2021-11-02T23:42:28.300Z,214546,34394,0
sears-65856,2021-11-02T23:42:28.300Z,270418,15385,0
ayala-49323,2021-11-02T23:43:28.980Z,220000,34394,0
sears-65856,2021-11-02T23:43:28.980Z,282951,15385,0
ayala-49323,2021-11-02T23:44:29.777Z,286730,37231,0
sears-65856,2021-11-02T23:44:29.777Z,383837,18184,0
ayala-49323,2021-11-02T23:45:30.590Z,290525,37231,0
sears-65856,2021-11-02T23:45:30.590Z,389415,18184,0
ayala-49323,2021-11-02T23:46:31.907Z,302468,38597,0
sears-65856,2021-11-02T23:46:31.907Z,410822,20760,0
ayala-49323,2021-11-02T23:47:32.597Z,303233,38742,0
sears-65856,2021-11-02T23:47:32.597Z,413076,21187,0
ayala-49323,2021-11-02T23:49:34.020Z,401568,137077,0
sears-65856,2021-11-02T23:49:34.020Z,447553,55664,0
ayala-49323,2021-11-02T23:50:34.703Z,402419,137077,0
sears-65856,2021-11-02T23:50:34.703Z,451663,55664,0
ayala-49323,2021-11-02T23:51:35.403Z,405546,137349,0
sears-65856,2021-11-02T23:51:35.403Z,455691,56483,0
ayala-49323,2021-11-02T23:53:37.083Z,456040,143913,0
sears-65856,2021-11-02T23:53:37.083Z,543694,63017,0
ayala-49323,2021-11-02T23:54:37.840Z,470045,167654,0
sears-65856,2021-11-02T23:54:37.840Z,561899,81758,0
ayala-49323,2021-11-02T23:55:38.513Z,472049,167779,0
sears-65856,2021-11-02T23:55:38.513Z,565544,81921,0
ayala-49323,2021-11-02T23:56:39.610Z,473971,167400,0
sears-65856,2021-11-02T23:56:39.610Z,570873,81749,0
ayala-49323,2021-11-02T23:57:40.297Z,478172,167400,0
